0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,1,4,1,1,1,2,2,4,3,0,0,0,3,2,4,-0.0952380952381,-1.0,-0.926356589147,-0.475092153765,-0.777777777778,0.199727530344,-1.0,-1.0,-0.333333333333,-0.65,-0.621621621622,-0.444444444444,-1.0,-0.176470588235,0
1,1,4,1,4,0,3,3,4,3,0,0,0,1,2,1,0.714285714286,-1.0,0.205426356589,-0.000210637177462,0.555555555556,0.0604832724973,-1.0,-1.0,-0.333333333333,0.65,-0.72972972973,-0.555555555556,-0.866666666667,-0.529411764706,0
1,1,3,1,1,1,1,2,2,3,2,0,1,4,3,3,-0.238095238095,-0.571428571429,-0.858527131783,-0.466561348078,-0.777777777778,0.90055307786,1.0,-1.0,-1.0,-0.55,-0.513513513514,-0.222222222222,-1.0,-0.294117647059,1
2,1,1,1,4,0,2,4,4,4,1,0,0,3,3,3,-2.22044604925e-16,-1.0,-0.00678294573643,0.23570300158,-0.777777777778,-0.0872050537696,-1.0,-1.0,-0.333333333333,0.05,0.135135135135,-0.333333333333,0.466666666667,-0.0588235294118,0
1,1,3,3,1,1,2,1,2,2,0,0,0,1,2,3,-0.52380952381,-1.0,0.0755813953488,-0.832859399684,-0.777777777778,-0.2444280744,-1.0,-1.0,0.333333333333,-0.95,-0.945945945946,-1.0,-1.0,-1.0,1
2,2,1,3,4,0,3,2,7,3,1,0,1,3,3,3,-0.714285714286,-0.785714285714,0.399224806202,-0.667930489731,-0.777777777778,-0.788030601285,-1.0,-1.0,0.333333333333,-0.75,-0.72972972973,-0.555555555556,-1.0,-0.647058823529,0
2,1,5,4,2,1,2,1,2,4,2,0,0,3,2,3,-0.47619047619,-0.428571428571,-0.56007751938,-0.686782517114,-1.0,0.0604832724973,-1.0,-1.0,-1.0,-0.8,-0.837837837838,-0.777777777778,-0.733333333333,-0.764705882353,0
2,2,2,3,2,1,2,3,7,3,1,0,0,2,2,3,-0.142857142857,-0.928571428571,-0.503875968992,-0.306266456029,-0.777777777778,-0.593037656636,-1.0,-1.0,0.333333333333,-0.5,-0.459459459459,0.0,0.2,-1.0,0
2,1,4,3,3,0,2,1,6,2,1,0,0,4,3,3,-0.285714285714,-0.785714285714,-0.705426356589,-0.830121116377,0.333333333333,0.575255743379,1.0,-1.0,-1.0,-0.65,-0.837837837838,-0.777777777778,-0.866666666667,-0.882352941176,0
2,1,4,5,3,0,3,2,0,4,2,0,0,4,2,4,-0.238095238095,-0.928571428571,0.339147286822,-0.402001053186,-0.777777777778,-1.0,-1.0,-1.0,-1.0,-0.3,-0.243243243243,0.222222222222,-0.466666666667,0.294117647059,0
2,0,1,0,4,1,1,1,1,3,1,0,0,3,2,3,-0.714285714286,0.5,0.65988372093,-0.942496050553,-0.777777777778,-1.0,-1.0,-1.0,-0.333333333333,-0.95,-0.945945945946,-1.0,-1.0,-1.0,1
2,1,4,3,1,0,3,2,0,3,2,0,1,3,4,3,-0.190476190476,-0.357142857143,0.536821705426,-0.459399684044,-0.333333333333,-0.0872050537696,-1.0,-1.0,-1.0,-0.5,-0.72972972973,-0.777777777778,-1.0,-0.529411764706,0
2,1,3,5,4,0,3,1,6,1,2,0,1,3,5,3,-0.428571428571,-0.857142857143,-0.713178294574,-0.826434965771,0.111111111111,-1.0,-1.0,-1.0,-1.0,-0.6,-0.72972972973,-0.777777777778,-1.0,-0.529411764706,1
2,1,4,1,3,0,3,2,2,3,2,0,0,3,3,3,0.714285714286,-0.5,-0.440891472868,-0.708162190627,0.555555555556,-1.0,-1.0,-1.0,-1.0,-0.05,-0.945945945946,-1.0,-1.0,-1.0,0
2,1,3,1,4,0,2,1,2,2,1,0,0,1,2,2,-0.238095238095,-1.0,0.401162790698,-0.75934702475,0.111111111111,0.0604832724973,-1.0,-1.0,-0.333333333333,-0.65,-0.72972972973,-0.555555555556,-1.0,-0.764705882353,0
2,2,4,1,4,0,2,1,8,4,2,0,1,1,3,2,0.380952380952,-0.928571428571,-0.104651162791,-0.75934702475,-0.777777777778,0.199727530344,-1.0,-1.0,-1.0,-0.85,-0.837837837838,-0.777777777778,-0.866666666667,-0.764705882353,0
